file,label
17548__A.wav,Fire
17548_B.wav,Fire
17548_C.wav,Fire
17548_D.wav,Fire
17548_E.wav,Fire
17548_F.wav,Fire
17548_G.wav,Fire
17548_H.wav,Fire
17717_A.wav,Fire
17717_B.wav,Fire
17717_C.wav,Fire
17717_D.wav,Fire
61311_A.wav,Fire
61311_B.wav,Fire
61311_C.wav,Fire
61311_D.wav,Fire
61311_E.wav,Fire
61311_F.wav,Fire
61311_G.wav,Fire
61311_H.wav,Fire
61311_I.wav,Fire
74963_A.wav,Fire
74963_B.wav,Fire
74963_C.wav,Fire
74963_D.wav,Fire
74963_E.wav,Fire
74963_F.wav,Fire
74963_G.wav,Fire
74963_H.wav,Fire
74963_I.wav,Fire
104956_A.wav,Fire
104956_B.wav,Fire
104956_C.wav,Fire
104956_D.wav,Fire
104956_E.wav,Fire
253770_A.wav,Fire
253770_B.wav,Fire
253770_C.wav,Fire
253770_D.wav,Fire
253770_E.wav,Fire
253770_F.wav,Fire
253770_G.wav,Fire
253770_H.wav,Fire
363092_A.wav,Fire
363092_B.wav,Fire
363092_C.wav,Fire
363092_D.wav,Fire
363092_E.wav,Fire
363092_F.wav,Fire
393436_A.wav,Fire
393436_B.wav,Fire
393436_C.wav,Fire
393436_D.wav,Fire
393436_E.wav,Fire
408531_A.wav,Fire
408531_B.wav,Fire
408531_C.wav,Fire
408531_D.wav,Fire
408531_E.wav,Fire
408531_F.wav,Fire
408531_G.wav,Fire
408531_H.wav,Fire
414767_A.wav,Fire
414767_B.wav,Fire
414767_C.wav,Fire
418274_A.wav,Fire
483311_A.wav,Fire
483311_B.wav,Fire
483311_C.wav,Fire
499032_A.wav,Fire
499032_B.wav,Fire
532191_A.wav,Fire
532191_B.wav,Fire
532191_C.wav,Fire
532191_D.wav,Fire
34065.wav,Rain
34066.wav,Rain
34067.wav,Rain
34068.wav,Rain
34069.wav,Rain
34070.wav,Rain
34071.wav,Rain
34072.wav,Rain
34073.wav,Rain
37618.wav,Rain
56306.wav,Rain
56308.wav,Rain
56309.wav,Rain
56310.wav,Rain
82366.wav,Rain
120695.wav,Rain
120698.wav,Rain
120699.wav,Rain
120701.wav,Rain
120808.wav,Rain
134909.wav,Rain
157487.wav,Rain
202898.wav,Rain
231686.wav,Rain
231687.wav,Rain
237729.wav,Rain
244053.wav,Rain
262005.wav,Rain
267105.wav,Rain
316894.wav,Rain
316895.wav,Rain
322963.wav,Rain
322964.wav,Rain
322965.wav,Rain
322966.wav,Rain
337791.wav,Rain
344460.wav,Rain
344461.wav,Rain
344462.wav,Rain
346641.wav,Rain
346642.wav,Rain
360328.wav,Rain
387062.wav,Rain
387064.wav,Rain
394936.wav,Rain
396482.wav,Rain
396483.wav,Rain
398738.wav,Rain
398739.wav,Rain
398740.wav,Rain
398741.wav,Rain
398742.wav,Rain
399281.wav,Rain
400402.wav,Rain
401276.wav,Rain
437037.wav,Rain
464280.wav,Rain
464283.wav,Rain
468024.wav,Rain
468025.wav,Rain
476202.wav,Rain
511348.wav,Rain
516248.wav,Rain
527498.wav,Rain
533522.wav,Rain
533760.wav,Rain
575460.wav,Rain
575462.wav,Rain
575464.wav,Rain
575465.wav,Rain
579840_1.wav,Rain
579840_2.wav,Rain
592344.wav,Rain
592345.wav,Rain
640651.wav,Rain
23779.wav,Thunderstorm
24003.wav,Thunderstorm
29675.wav,Thunderstorm
35969.wav,Thunderstorm
39877.wav,Thunderstorm
99081.wav,Thunderstorm
99082.wav,Thunderstorm
99083.wav,Thunderstorm
99084.wav,Thunderstorm
155147.wav,Thunderstorm
160154.wav,Thunderstorm
160155.wav,Thunderstorm
161503.wav,Thunderstorm
161503_1.wav,Thunderstorm
194842.wav,Thunderstorm
194872.wav,Thunderstorm
238794.wav,Thunderstorm
238801.wav,Thunderstorm
238803.wav,Thunderstorm
238804.wav,Thunderstorm
239489.wav,Thunderstorm
239490.wav,Thunderstorm
239493.wav,Thunderstorm
240368.wav,Thunderstorm
250107.wav,Thunderstorm
256093.wav,Thunderstorm
259650.wav,Thunderstorm
325156.wav,Thunderstorm
341945.wav,Thunderstorm
345032.wav,Thunderstorm
348076.wav,Thunderstorm
360328.wav,Thunderstorm
367004.wav,Thunderstorm
367510.wav,Thunderstorm
397952.wav,Thunderstorm
580879.wav,Thunderstorm
399870.wav,Thunderstorm
400076.wav,Thunderstorm
400076_1.wav,Thunderstorm
413833.wav,Thunderstorm
426447.wav,Thunderstorm
39877__csengeri__thunderrumble19august2007.wav,Thunderstorm
426859.wav,Thunderstorm
436794.wav,Thunderstorm
441837.wav,Thunderstorm
455087.wav,Thunderstorm
464259.wav,Thunderstorm
464260.wav,Thunderstorm
467324.wav,Thunderstorm
473866.wav,Thunderstorm
474995_1.wav,Thunderstorm
474995_2.wav,Thunderstorm
474996_1.wav,Thunderstorm
474996_2.wav,Thunderstorm
527664.wav,Thunderstorm
536093.wav,Thunderstorm
538615.wav,Thunderstorm
538615_1.wav,Thunderstorm
574652_1.wav,Thunderstorm
547652_2.wav,Thunderstorm
553800.wav,Thunderstorm
564987_1.wav,Thunderstorm
564987_2.wav,Thunderstorm
564992.wav,Thunderstorm
564994.wav,Thunderstorm
564999.wav,Thunderstorm
570351.wav,Thunderstorm
570601.wav,Thunderstorm
580446.wav,Thunderstorm
580451.wav,Thunderstorm
580452.wav,Thunderstorm
580879_1.wav,Thunderstorm
581125.wav,Thunderstorm
608170.wav,Thunderstorm
615844.wav,Thunderstorm
395488_3.wav,WaterDrops
348358_1.wav,WaterDrops
212112_3.wav,WaterDrops
500319_2.wav,WaterDrops
102954_1.wav,WaterDrops
582619_1.wav,WaterDrops
102954_2.wav,WaterDrops
102953_2.wav,WaterDrops
500319_1.wav,WaterDrops
348358_2.wav,WaterDrops
515915_1.wav,WaterDrops
395488_2.wav,WaterDrops
159172_4.wav,WaterDrops
212112_2.wav,WaterDrops
395488_5.wav,WaterDrops
395488_4.wav,WaterDrops
500319_3.wav,WaterDrops
159172_2.wav,WaterDrops
396863_2.wav,WaterDrops
102953_1.wav,WaterDrops
395488_1.wav,WaterDrops
396863_1.wav,WaterDrops
500319_4.wav,WaterDrops
159172_1.wav,WaterDrops
212112_1.wav,WaterDrops
105954_3.wav,WaterDrops
396863_3.wav,WaterDrops
396862_1.wav,WaterDrops
500319_5.wav,WaterDrops
159172_3.wav,WaterDrops
35625__1.wav,WaterDrops
280230_5.wav,WaterDrops
396861_5.wav,WaterDrops
396861_2.wav,WaterDrops
11597_2.wav,WaterDrops
11597_1.wav,WaterDrops
396861_3.wav,WaterDrops
187656_5.wav,WaterDrops
187656_4.wav,WaterDrops
396861_1.wav,WaterDrops
132151_2.wav,WaterDrops
269343_3.wav,WaterDrops
221590_2.wav,WaterDrops
280230_4.wav,WaterDrops
187657_1.wav,WaterDrops
280230_3.wav,WaterDrops
197965_1.wav,WaterDrops
187657_3.wav,WaterDrops
132151_1.wav,WaterDrops
377877_1.wav,WaterDrops
402599_1.wav,WaterDrops
269343_1.wav,WaterDrops
187656_3.wav,WaterDrops
280230_6.wav,WaterDrops
280230_1.wav,WaterDrops
132151_3.wav,WaterDrops
187656_6.wav,WaterDrops
280230_8.wav,WaterDrops
221590_1.wav,WaterDrops
187656_1.wav,WaterDrops
396861_4.wav,WaterDrops
269343_2.wav,WaterDrops
280230_2.wav,WaterDrops
187656_2.wav,WaterDrops
280230_7.wav,WaterDrops
187657_2.wav,WaterDrops
402599_2.wav,WaterDrops
462484_1.wav,WaterDrops
496085_4.wav,WaterDrops
402599_4.wav,WaterDrops
67321_4.wav,WaterDrops
67321_3.wav,WaterDrops
67321_2.wav,WaterDrops
534969_2.wav,WaterDrops
496085_3.wav,WaterDrops
104952_3.wav,Wind
16995_3.wav,Wind
16995_1.wav,Wind
104952_2.wav,Wind
106134_2.wav,Wind
16994_2.wav,Wind
22384_2.wav,Wind
110919_1.wav,Wind
22383_1.wav,Wind
17383_2.wav,Wind
110919_3.wav,Wind
22384_3.wav,Wind
104952_4.wav,Wind
16994_3.wav,Wind
16995_2.wav,Wind
17383_1.wav,Wind
106134_3.wav,Wind
16994_1.wav,Wind
110919_2.wav,Wind
104952_1.wav,Wind
15542__1.wav,Wind
110919_4.wav,Wind
22384_1.wav,Wind
106134_1.wav,Wind
73708_2.wav,Wind
34409_1.wav,Wind
26366_1.wav,Wind
73712_1.wav,Wind
73712_3.wav,Wind
45479_1.wav,Wind
81725_2.wav,Wind
73719_2.wav,Wind
33196_1.wav,Wind
58556_2.wav,Wind
73710_3.wav,Wind
33195_1.wav,Wind
84735_2.wav,Wind
73712_2.wav,Wind
73710_4.wav,Wind
26366_3.wav,Wind
45479_2.wav,Wind
58556_1.wav,Wind
81727_1.wav,Wind
73719_3.wav,Wind
73710_1.wav,Wind
73710_2.wav,Wind
34407_1.wav,Wind
81725_1.wav,Wind
33196_2.wav,Wind
73719_1.wav,Wind
81756_2.wav,Wind
33195_2.wav,Wind
58556_3.wav,Wind
34409_2.wav,Wind
84735_1.wav,Wind
26366_2.wav,Wind
81728_1.wav,Wind
34409_3.wav,Wind
73708_1.wav,Wind
81756_1.wav,Wind
33195_3.wav,Wind
73708_3.wav,Wind
34408_1.wav,Wind
81756_3.wav,Wind
73708_4.wav,Wind
97178_1.wav,Wind
98563_3.wav,Wind
97178_2.wav,Wind
95403_2.wav,Wind
84735_3.wav,Wind
97178_3.wav,Wind
84735_4.wav,Wind
84735_5.wav,Wind
95403_1.wav,Wind
98563_1.wav,Wind
renam (1).wav,Silence
rename2.wav,Silence
193045__(1)_frithjof__stille-mit-vogel (1).wav,Silence
67881__(1)_figowitz__ice-crackingwav (1).wav,Silence
67881__(2)_figowitz__ice-crackingwav.wav,Silence
67881__(3)_figowitz__ice-crackingwav.wav,Silence
67881__(4)_figowitz__ice-crackingwav.wav,Silence
379210__(1)_13f-panska-petruzelova-anna__silence-in-the-forest (1).wav,Silence
379210__(2)_13f-panska-petruzelova-anna__silence-in-the-forest.wav,Silence
379210__(3)_13f-panska-petruzelova-anna__silence-in-the-forest.wav,Silence
379210__(4)_13f-panska-petruzelova-anna__silence-in-the-forest .wav,Silence
379210__(5)_13f-panska-petruzelova-anna__silence-in-the-forest .wav,Silence
379247__13f-panska-petruzelova-anna__deep-silent-in-the-forest(1) (1).wav,Silence
379247__13f-panska-petruzelova-anna__deep-silent-in-the-forest(2).wav,Silence
379247__13f-panska-petruzelova-anna__deep-silent-in-the-forest(4).wav,Silence
379247__13f-panska-petruzelova-anna__deep-silent-in-the-forest(5).wav,Silence
379247__13f-panska-petruzelova-anna__deep-silent-in-the-forest(6).wav,Silence
